Desktop simulation started.
LCD: 480 x 272  window: 960 x 544
UART keys: S=step  C=continue  P=print-regs  R=reset-CPU
FONT_WR addr=0d0000 data=00008080
FONT_WR addr=0d0008 data=00000000
FONT_WR addr=0d0001 data=00008080
FONT_WR addr=0d0009 data=00000000
FONT_WR addr=0d0002 data=00008080
FONT_WR addr=0d000a data=00000000
FONT_WR addr=0d0003 data=00008080
FONT_WR addr=0d000b data=00000000
FONT_WR addr=0d0004 data=0000800a
FONT_WR addr=0d000c data=000000da
FONT_WR addr=0d0005 data=00008080
FONT_WR addr=0d000d data=00000000
FONT_WR addr=0d0006 data=00008080
FONT_WR addr=0d000e data=00000000
FONT_WR addr=0d0007 data=0000ff80
FONT_WR addr=0d000f data=0000ff00
FONT_WR addr=0d0010 data=00008080
FONT_WR addr=0d0018 data=00000000
FONT_WR addr=0d0011 data=000098b0
FONT_WR addr=0d0019 data=0000180c
FONT_WR addr=0d0012 data=0000868c
FONT_WR addr=0d001a data=00006030
FONT_WR addr=0d0013 data=00008183
FONT_WR addr=0d001b data=000080c0
FONT_WR addr=0d0014 data=00008683
FONT_WR addr=0d001c data=000060c0
FONT_WR addr=0d0015 data=0000988c
FONT_WR addr=0d001d data=00001830
FONT_WR addr=0d0016 data=000080b0
FONT_WR addr=0d001e data=0000000c
FONT_WR addr=0d0017 data=0000ff80
FONT_WR addr=0d001f data=0000ff00
FONT_WR addr=0d0020 data=00008080
FONT_WR addr=0d0028 data=00000000
FONT_WR addr=0d0021 data=00009f87
FONT_WR addr=0d0029 data=0000f8e0
FONT_WR addr=0d0022 data=00009898
FONT_WR addr=0d002a data=00001818
FONT_WR addr=0d0023 data=00009898
FONT_WR addr=0d002b data=00001818
FONT_WR addr=0d0024 data=00009898
FONT_WR addr=0d002c data=00001818
FONT_WR addr=0d0025 data=00009f98
FONT_WR addr=0d002d data=0000f818
FONT_WR addr=0d0026 data=00008087
FONT_WR addr=0d002e data=000000e0
FONT_WR addr=0d0027 data=0000ff80
FONT_WR addr=0d002f data=0000ff00
FONT_WR addr=0d0030 data=00008080
FONT_WR addr=0d0038 data=00000000
FONT_WR addr=0d0031 data=00009f9f
FONT_WR addr=0d0039 data=0000f8f8
FONT_WR addr=0d0032 data=00009898
FONT_WR addr=0d003a data=00001818
FONT_WR addr=0d0033 data=00009898
FONT_WR addr=0d003b data=00001818
FONT_WR addr=0d0034 data=00009898
FONT_WR addr=0d003c data=00001818
FONT_WR addr=0d0035 data=00009f98
FONT_WR addr=0d003d data=0000f818
FONT_WR addr=0d0036 data=0000809f
FONT_WR addr=0d003e data=000000f8
FONT_WR addr=0d0037 data=0000ff80
FONT_WR addr=0d003f data=0000ff00
